TNS Name,RA,DEC,Host Name,Host Redshift,Disc. Internal Name,Discovery Mag/Flux,Discovery Date (UT)
AT 2020fpf,10:57:00.326,+29:37:15.24,2MASX J10570047+2937193,0.03429,GSNST-20aw,17.63,2020-03-31 10:03:06.048
AT 2020fhy,10:05:09.016,+14:43:42.62,2MASX J10050871+1443435,0.07679,GSNST-20av,18.3,2020-03-29 21:48:14.400
AT 2020fhr,04:31:34.569,-29:45:17.40,MCG-05-11-013,0.014339,GSNST-20au,17.411,2020-03-29 20:27:31.680
AT 2020fhq,09:57:23.022,+27:13:10.75,3XMM J095721.9+271300,0.05569,GSNST-20at,19.375,2020-03-29 19:38:38.400
AT 2020fce,05:49:57.320,-25:17:14.75,6dFGS gJ054957.7-251730,0.039544,GSNST-20as,18.93,2020-03-27 20:46:02.784
AT 2020fbe,13:46:27.500,-30:21:51.20,Unknown,,GSNST-20ar,19.1,2020-03-27 00:14:26.592
AT 2020fbd,13:52:16.717,-30:40:36.51,LEDA 714304,,GSNST-20aq,18.98,2020-03-26 19:43:45.120
AT 2020eub,10:06:42.564,+11:27:26.10,Unknown,,GSNST-20ap,17.531,2020-03-23 01:11:00.384
AT 2020etf,12:48:34.349,+38:47:10.25,Unknown,,GSNST-20ao,19.71,2020-03-23 00:34:43.104
AT 2020etd,13:04:23.029,+28:48:46.24,Unknown,,GSNST-20an,18.63,2020-03-23 00:04:39.936
AT 2020elx,05:27:10.860,-69:24:32.82,LMC,0.000875,GSNST-20am,15.95,2020-03-14 21:15:17.568
AT 2020efl,15:44:25.713,+46:39:27.63,2MASX J15442543+4639340,0.01945,GSNST-20al,17.71,2020-03-08 10:39:11.232
AT 2020eej,14:39:56.668,+48:30:44.01,2MASX J14395649+4830474,0.08336,GSNST-20ak,17.94,2020-03-07 10:01:37.920
AT 2020dxu,14:56:40.128,+54:07:09.52,2MASX J14563920+5407054,0.09615,GSNST-20aj,18.98,2020-03-04 12:12:33.408
AT 2020dry,11:11:02.829,+34:45:11.85,Unknown,,GSNST-20ai,18.65,2020-02-29 11:30:42.624
AT 2020drq,11:11:57.405,+34:01:09.93,LEDA 2042593,,GSNST-20ah,177.27,2020-02-28 22:27:46.944
AT 2020dos,13:01:13.172,+40:08:03.92,Unknown,,GSNST-20ag,18.52,2020-02-26 22:47:27.168
AT 2020dke,14:45:30.330,+37:37:40.28,Unknown,,GSNST-20af,19.5446,2020-02-25 22:26:30.048
AT 2020bji,11:29:58.970,+20:26:59.62,DES J112958.97+202659.6,,GSNST-20ae,17.4,2020-01-27 13:10:00.000
AT 2020bdv,11:29:43.310,+20:26:20.70,2MASX J11294333+2026207,,GSNST-20ad,16.49,2020-01-27 13:10:00.000
AT 2020azj,10:38:25.160,-00:23:31.13,SDSS J103825.16-002331.1,,GSNST-20ac,16.77,2020-01-25 10:10:00.000
AT 2020azi,12:32:39.960,+60:47:32.19,SDSS J123239.96+634732.1,,GSNST-20ab,17,2020-01-25 09:10:00.000
AT 2020azg,12:34:29.000,+64:05:55.74,AGC 221477,,GSNST-20aa,15.73,2020-01-25 09:10:00.000
AT 2019plm,01:24:25.760,+33:24:25.73,2MASX J01242573+3324255,,GSNST-19al,16.11,2019-09-02 04:46:10.000
AT 2019piq,02:18:34.600,-06:36:39.00,LEDA 1030835,,GSNST-19ak,16.33,2019-09-01 07:30:10.000
AT 2019ozq,00:02:31.290,-27:11:34.40,2dFGRS TGS199Z282,,GSNST-19aj,17.34,2019-08-29 05:40:10.000
AT 2019nsp,02:40:58.123,+38:42:09.62,LEDA 10167,,GSNST-19ai,19.67,2019-08-12 06:30:20.000
AT 2019njs,01:46:50.479,+11:24:06.13,UGC 1245,,GSNST-19ah,18.62,2019-08-11 12:30:10.000
AT 2019krg,17:59:09.913,+63:32:14.51,Unknown,,GSNST-19ag,17.98,2019-07-07 00:59:02.000
AT 2019gqj,16:16:06.398,+55:13:45.85,2MASX J16160636+5513455,,GSNST-19af,15.91,2019-06-01 19:50:52.000
AT 2019ehi,12:37:51.300,+41:56:29.90,Unknown,,GSNST-19ae,18.1,2019-04-29 01:26:24.000
AT 2019edx,14:13:36.200,+54:38:13.30,MCG+09-23-058,,GSNST-19ad,15.98,2019-04-25 00:37:26.000
AT 2019dkp,16:17:57.730,+56:38:22.50,2MASX J16175770+5638221,0.0657,GSNST-19ac,15.6,2019-04-12 18:43:12.000
AT 2019afu,00:40:16.824,+06:37:38.13,2MASX J00401699+0637388,,GSNST 19-ab,16.3,2019-01-28 11:24:00.000
AT 2019ow,12:03:46.450,+03:32:47.82,NGC 4058,0.019323,GSNST 19-aa,18.1,2019-01-10 12:06:27.000
